distance_cost: 2.6666215088191714, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.0009414891332540425, action_cost: 0.1164358449262058, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.664288950097647, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 4.77563118589883e-05, action_cost: 0.1181032412965186, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.665522933085669, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.09967942601639983, action_cost: 0.21695558223289313, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6758522413837538, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.0006564528324570014, action_cost: 0.21411058541063488, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6708936195281794, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 9.405998104964082e-05, action_cost: 0.208657863145258, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.676505875556036, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.0010270568204802288, action_cost: 0.190652355059671, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6708287050518718, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 0.00045421525460885955, action_cost: 0.17967459925146534, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6746889712714212, orientation_cost: 0.0, position_cost: 0.0, action_diff_cost: 6.44826262286264e-05, action_cost: 0.1753065461478709, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.671962146804846, orientation_cost: 0.0, position_cost: 0.0004435703158378601, action_diff_cost: 9.040686053583011e-06, action_cost: 0.1740320598827767, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.669302567093852, orientation_cost: 0.0, position_cost: 0.020575933158397675, action_diff_cost: 7.910027821625908e-05, action_cost: 0.16961429277593396, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.671726006404956, orientation_cost: 0.0, position_cost: 0.059735290706157684, action_diff_cost: 1.017277900843425e-05, action_cost: 0.17104470023303442, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
