distance_cost: 1.0017160270382062, orientation_cost: 24.836952712386225, position_cost: 10.695451829349622, action_diff_cost: 0.410788414712225, action_cost: 0.17229206976908415, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0007159498748195, orientation_cost: 24.82838485496345, position_cost: 10.700745838228613, action_diff_cost: 0.6423739230080812, action_cost: 0.17870517618812232, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0076882140329366, orientation_cost: 24.82325237906356, position_cost: 10.60539969895035, action_diff_cost: 0.7091263380610834, action_cost: 0.17762050702634005, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0041192104683312, orientation_cost: 24.822261709610796, position_cost: 10.631012867204845, action_diff_cost: 0.7051062156777903, action_cost: 0.17286575806793303, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 1.0009162483161957, orientation_cost: 24.818436178996414, position_cost: 10.662980739260092, action_diff_cost: 0.6824575300806436, action_cost: 0.17189181554974928, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 0.9981492734701486, orientation_cost: 24.80989227883108, position_cost: 10.655446943826973, action_diff_cost: 0.6748465121660301, action_cost: 0.17696038415366142, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 0.9989175107194121, orientation_cost: 24.8174365031858, position_cost: 10.65855361125432, action_diff_cost: 0.6973475516389859, action_cost: 0.17696038415366144, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 0.9981383475293357, orientation_cost: 24.806704414679086, position_cost: 10.643654479179531, action_diff_cost: 0.6967826762351553, action_cost: 0.1694671280276816, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 0.9957465116776669, orientation_cost: 24.806653263105787, position_cost: 10.667711192043498, action_diff_cost: 0.6636379807304251, action_cost: 0.13941501306404916, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 0.9974992147658631, orientation_cost: 24.80714946962618, position_cost: 10.617627517320216, action_diff_cost: 0.5521675502381742, action_cost: 0.12508608149142011, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 0.9964658165290571, orientation_cost: 24.805212035071914, position_cost: 10.622870299965143, action_diff_cost: 0.49808064267036606, action_cost: 0.13021792246310296, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 0.9959315622938297, orientation_cost: 24.806611427764462, position_cost: 10.627451543230563, action_diff_cost: 0.5183041075579083, action_cost: 0.12236310994986228, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 0.9948278084462541, orientation_cost: 24.833110097693645, position_cost: 10.612864209804684, action_diff_cost: 0.48677363505698423, action_cost: 0.11866619589012076, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 0.9953198679129527, orientation_cost: 24.827201443955975, position_cost: 10.614074342418462, action_diff_cost: 0.47330690455512814, action_cost: 0.1012682720146883, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 0.9941162578577155, orientation_cost: 24.817753778804526, position_cost: 10.656502650643233, action_diff_cost: 0.40225861628608195, action_cost: 0.10014518748675938, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 0.9951437019132457, orientation_cost: 24.830154966136476, position_cost: 10.63803378562443, action_diff_cost: 0.4002084775308352, action_cost: 0.10018360285290587, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 0.9963276860031625, orientation_cost: 24.82689510973712, position_cost: 10.637591800885275, action_diff_cost: 0.40009394160545003, action_cost: 0.1003304851352306, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 0.9968912555895358, orientation_cost: 24.830036942766412, position_cost: 10.633213736116886, action_diff_cost: 0.10033048513787493, action_cost: 0.10154847821481533, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 0.9975092289268329, orientation_cost: 24.832173874630996, position_cost: 10.633385716471821, action_diff_cost: 0.10154847824077698, action_cost: 0.14803446084316083, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 0.9976948797592189, orientation_cost: 24.833778976787357, position_cost: 10.626894825370982, action_diff_cost: 0.1480344635078817, action_cost: 0.1157070828331333, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 0.9996869159366213, orientation_cost: 24.836197339008752, position_cost: 10.6277124020271, action_diff_cost: 0.11570708805502489, action_cost: 0.05468003672057062, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 0.9999769988164846, orientation_cost: 24.83674681378089, position_cost: 10.63410075684078, action_diff_cost: 0.05468003904323493, action_cost: 0.054559988701362944, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 0.9974072470907442, orientation_cost: 24.84675738329419, position_cost: 10.627491948660463, action_diff_cost: 0.05455999129911171, action_cost: 0.08411920062142507, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 0.9982405037292383, orientation_cost: 24.849004070034525, position_cost: 10.625075723044574, action_diff_cost: 0.08411920269226267, action_cost: 0.10233910034602067, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
